frame_year,publication_id,page_url,date_issued,type,title
2023,59853,https://www.cbo.gov/publication/59853,2023-12-22,Cost Estimate,"H.R. 3196, Architect of the Capitol Appointment Act of 2023"
2023,59852,https://www.cbo.gov/publication/59852,2023-12-22,Cost Estimate,"S. 1258, Billion Dollar Boondoggle Act of 2023"
2023,59848,https://www.cbo.gov/publication/59848,2023-12-21,Cost Estimate,"S. 162, Smith River National Recreation Area Expansion Act"
2023,59847,https://www.cbo.gov/publication/59847,2023-12-21,Cost Estimate,"S. 776, M.H. Dutch Salmon Greater Gila Wild and Scenic River Act"
2023,59846,https://www.cbo.gov/publication/59846,2023-12-21,Cost Estimate,"H.R. 6586, A bill to require a strategy to oppose financial or material support by foreign countries to the Taliban, and for other purposes"
2023,59828,https://www.cbo.gov/publication/59828,2023-12-21,Cost Estimate,"H.R. 5914, Veterans Education Transparency and Training Act"
2023,59810,https://www.cbo.gov/publication/59810,2023-12-21,Cost Estimate,"H.R. 5375, Strengthening the Quad Act"
2023,59842,https://www.cbo.gov/publication/59842,2023-12-20,Cost Estimate,"H.R. 522, Deliver for Veterans Act"
2023,59835,https://www.cbo.gov/publication/59835,2023-12-20,Cost Estimate,"H.R. 3722, Daniel J. Harvey, Jr. and Adam Lambert Improving Servicemember Transition to Reduce Veteran Suicide Act"
2023,59834,https://www.cbo.gov/publication/59834,2023-12-20,Cost Estimate,"H.R. 5785, Edith Nourse Rogers STEM Scholarship Opportunity Act"
2024,61118,https://www.cbo.gov/publication/61118,2024-12-20,Cost Estimate,"H.R. 8816, American Medical Innovation and Investment Act of 2024"
2024,60786,https://www.cbo.gov/publication/60786,2024-09-27,Cost Estimate,"S. 4419, DETECT Fentanyl and Xylazine Act of 2024"
2024,60627,https://www.cbo.gov/publication/60627,2024-08-12,Cost Estimate,"H.R. 8446, Critical Mineral Consistency Act of 2024"
2024,60629,https://www.cbo.gov/publication/60629,2024-08-14,Cost Estimate,"S. 3875, AI Transparency in Elections Act of 2024"
2024,60972,https://www.cbo.gov/publication/60972,2024-11-08,Cost Estimate,Estimate of H.R. 8467 Relative to CBO’s June 2024 Baseline Projections
2024,60981,https://www.cbo.gov/publication/60981,2024-11-14,Cost Estimate,"S. 3757, Congenital Heart Futures Reauthorization Act of 2024"
2024,61099,https://www.cbo.gov/publication/61099,2024-12-11,Cost Estimate,"S. 4043, Telework Transparency Act of 2024"
2024,61096,https://www.cbo.gov/publication/61096,2024-12-11,Cost Estimate,"S. 3015, Telework Reform Act of 2024"
2024,61071,https://www.cbo.gov/publication/61071,2024-12-06,Cost Estimate,"S. 3162, TEST AI Act of 2024"
2024,60767,https://www.cbo.gov/publication/60767,2024-09-25,Cost Estimate,"S. 1956, Invent Here, Make Here Act of 2024"
2025,61956,https://www.cbo.gov/publication/61956,2025-12-19,Cost Estimate,"H.R. 6338, Stop Illegal Fishing Act"
2025,61958,https://www.cbo.gov/publication/61958,2025-12-19,Cost Estimate,"H.R. 1848, Houthi Human Rights Accountability Act"
2025,61957,https://www.cbo.gov/publication/61957,2025-12-19,Cost Estimate,"H.R. 4291, Sanctions Lists Harmonization Act"
2025,61964,https://www.cbo.gov/publication/61964,2025-12-19,Cost Estimate,"H.R. 5021, American Decade of Sports Act"
2025,61965,https://www.cbo.gov/publication/61965,2025-12-17,Cost Estimate,"S. 1070, National STEM Week Act"
2025,61959,https://www.cbo.gov/publication/61959,2025-12-16,Cost Estimate,"Estimated Budgetary Effects of H.R. 6703, the Lower Health Care Premiums for All Americans Act"
2025,61961,https://www.cbo.gov/publication/61961,2025-12-16,Cost Estimate,"S. 2245, a bill to amend the Digital Coast Act to improve the acquisition, integration, and accessibility of data of the Digital Coast program and to extend the program"
2025,61934,https://www.cbo.gov/publication/61934,2025-12-15,Cost Estimate,"H.R. 4638, Bill to Outlaw Wounding of Official Working Animals Act of 2025"
2025,61720,https://www.cbo.gov/publication/61720,2025-12-12,Cost Estimate,"Legislation considered under suspension of the Rules of the House of Representatives during the week of December 15, 2025"
2025,61938,https://www.cbo.gov/publication/61938,2025-12-10,Cost Estimate,"Estimated Budgetary Effects of S. 3385, the Lower Health Care Costs Act"
2026,62772,https://www.cbo.gov/publication/62772,2026-09-17,Cost Estimate,"S. 4259, Blue Skies for Taiwan Act of 2026"
2026,62774,https://www.cbo.gov/publication/62774,2026-09-17,Cost Estimate,"H.R. 1640, HEIRS Act of 2025"
2026,62773,https://www.cbo.gov/publication/62773,2026-09-17,Cost Estimate,"S. 2801, Canterbury Shaker Village National Heritage Area Study Authorization Act"
2026,62771,https://www.cbo.gov/publication/62771,2026-09-15,Cost Estimate,"S. 164, Midnight Rules Relief Act of 2025"
2026,62765,https://www.cbo.gov/publication/62765,2026-09-11,Cost Estimate,"S. 4570, U.S. Technology Procurement and Access to Trusted Hardware Act"
2026,62720,https://www.cbo.gov/publication/62720,2026-09-11,Cost Estimate,"S. 4429, Connected Vehicle Security Act of 2026"
2026,62589,https://www.cbo.gov/publication/62589,2026-09-11,Cost Estimate,"Legislation considered under suspension of the Rules of the House of Representatives during the week of September 14, 2026"
2026,62735,https://www.cbo.gov/publication/62735,2026-09-10,Cost Estimate,"H.R. 8052, Veteran Infection Prevention Act"
2026,62770,https://www.cbo.gov/publication/62770,2026-09-10,Cost Estimate,"H.R. 9342, GPO Modernization Act of 2026"
2026,62769,https://www.cbo.gov/publication/62769,2026-09-10,Cost Estimate,"H.R. 3334, USCP Empowerment Act of 2025"
